period,accountsReceivableTradeNet,additionalPaidInCapital,cashEquivalents,cashandShortTermInvestments,commonStockTotal,currentPortofLTDebtCapitalLeases,deferredIncomeTax,intangiblesNet,longTermDebt,longTermInvestments,noteReceivableLongTerm,notesPayableShortTermDebt,otherCurrentAssetsTotal,otherCurrentliabilitiesTotal,otherEquityTotal,otherLiabilitiesTotal,otherLongTermAssetsTotal,otherReceivables,payableAccrued,propertyPlantEquipmentTotalNet,retainedEarnings,tangibleBookValueperShare,totalAssets,totalCommonSharesOutstanding,totalCurrentAssets,totalCurrentLiabilities,totalDebt,totalEquity,totalInventory,totalLiabilities,totalLiabilitiesShareholdersEquity,totalLongTermDebt,totalReceivablesNet,unrealizedGainLoss,costofRevenueTotal,depreciationAmortization,dilutedAverageShares,dilutedEPS,grossProfit,interestIncExpNetNonOperatingTotal,netIncome,netIncomeAfterTaxes,netIncomeBeforeTaxes,operatingIncome,otherNonOperatingIncExpNet,provisionforIncomeTaxes,researchDevelopment,revenue,sellingGeneralAdminExpensesTotal,totalOperatingExpense,unusualExpenseIncome,amortization,capitalExpenditures,cashInterestPaid,cashTaxesPaid,cashfromFinancingActivities,cashfromInvestingActivities,cashfromOperatingActivities,changesinWorkingCapital,depreciationDepletion,financingCashFlowItems,foreignExchangeEffects,issuanceRetirementofDebtNet,issuanceRetirementofStockNet,netChangeinCash,netIncomeStartingLine,nonCashItems,otherInvestingCashFlowItemsTotal,totalCashDividendsPaid,ticker,market,cash,minorityInterest_x,totalPreferredSharesOutstanding,treasuryStockCommon,gainLossonSaleofAssets,interestExpIncNetOperatingTotal,minorityInterest_y,otherOperatingExpensesTotal,totalAdjustmentstoNetIncome,accountsPayable,shortTermInvestments,accruedExpenses,accumulatedDepreciationTotal,goodwillNet,prepaidExpenses,propertyPlantEquipmentTotalGross,eSOPDebtGuarantee,preferredStockNonRedeemableNet,otherRevenueTotal,redeemablePreferredStockTotal,insuranceReceivables,otherAssetsTotal,policyLiabilities,amortizationofPolicyAcquisitionCosts,lossesBenefitsandAdjustmentsTotal,netInvestmentIncome,realizedUnrealizedGainsLosses,totalPremiumsEarned,minorityInterest,deferredTaxes,cashDuefromBanks,customerLiabilityAcceptances,netLoans,otherEarningAssetsTotal,totalDeposits,interestIncomeBank,loanLossProvision,netInterestIncAfterLoanLossProv,netInterestIncome,nonInterestExpenseBank,nonInterestIncomeBank,totalInterestExpense,deferredPolicyAcquisitionCosts,cashPayments,cashReceipts,totalUtilityPlantNet,otherBearingLiabilitiesTotal,totalShortTermBorrowings,equityInAffiliates
2020-03-31,898.9,688.6,869.3,869.3,61.0,694.3,38.8,51.9,1671.9,32.9,,0.0,5.8,908.1,607.3,804.8,102.6,191.19999999999993,,4374.5,-136.9,-0.4173,8343.9,1210.88475,2118.8,2820.7,4197.2,1209.8,63.3,7134.1,8343.9,3502.9,1090.1,,4166.1,9.2,1210.5,-0.04945,56.6,-68.1,-154.3,-151.7,-112.5,-34.6,-9.8,39.2,,4222.7,,91.19999999999982,,9.2,-137.5,58.60000000000001,0.8999999999999999,-232.3,-129.29999999999998,626.6,72.5,537.0999999999999,-2.1,4.4,-223.8,-6.4,269.4,-34.599999999999994,42.400000000000006,8.200000000000003,,FGP.L,L,,-33.1,,-10.2,,,-2.6,82.0,,336.9,,881.4,-3564.1,1663.2,90.3,7938.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,826.7,685.2,599.9,599.9,60.8,481.0,10.9,55.0,1568.1,36.9,,0.0,35.0,804.1,693.7,814.6,158.7,233.5,,3050.9,31.2,-0.22792,6907.4,1214.0,1914.6,2402.5,2722.0,1469.6,63.3,5437.8,6907.4,2241.0,1060.2,,3578.9,11.8,1211.3,0.00166,-47.0,-58.4,-172.9,-172.9,-187.1,-118.1,-10.6,-14.2,,3531.9,,71.09999999999991,,11.8,-193.5,67.3,2.0,-248.7,-174.1,331.6,-72.1,352.3,0.0,-1.8,-249.8,1.1,-93.0,-118.1,157.7,19.4,,FGP.L,L,,-31.2,,-1.3,,,0.0,59.3,,330.4,,787.0,-3225.3,1691.3,156.2,6276.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,849.2,684.0,692.9,692.9,60.7,84.9,16.5,75.1,1545.7,34.1,,0.0,47.2,831.5,561.8,910.3,130.3,131.5999999999999,,2165.9,252.7,-0.09822,5948.6,1208.56807,1945.1,1934.4,1649.0,1554.5,60.2,4394.1,5948.6,1564.1,980.8,,3712.9,12.3,1206.8,0.03587,110.7,-43.0,-60.0,-98.8,-93.3,-36.5,-13.8,5.5,,3823.6,,147.19999999999982,134.9,12.299999999999997,-240.6,33.7,3.2,-40.8,-187.70000000000002,335.1,145.79999999999998,181.4,-2.2,-8.7,-40.1,1.5,97.89999999999999,-36.5,32.1,52.9,,FGP.L,L,,-31.2,,-4.7,,,38.8,,,278.7,,739.3,-2549.5,1598.1,164.0,4715.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,600.0,20.0,87.0,93.0,42.0,41.0,36,41.0,511,9,54,51.0,1,48.0,-124,9.0,48.0,61.0,388,1166.0,1434.0,4.4548,2511.0,256.1282,1016.0,528.0,671.0,1359.0,216.0,1152.0,2511.0,579.0,661.0,,309.0,,255.5,0.33958,536.0,-21.0,90.0,90.0,139.0,160.0,,49.0,,845.0,381,376.0,-5.0,5.0,-135.0,24.0,46.0,-216.0,-123.0,352.0,19.0,152.0,,-4.0,-188.0,-4.0,9.0,90.0,86.0,12.0,-24,AGK.L,L,,,,-13,,,,,,,6,,-2798.0,177.0,45.0,3964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,657.0,20.0,69.0,75.0,42.0,146.0,34,42.0,596,9,45,42.0,0,39.0,-51,9.0,37.0,75.0,336,1223.0,1361.0,4.42357,2632.0,256.1282,1090.0,563.0,853.0,1361.0,233.0,1271.0,2632.0,665.0,732.0,,335.0,,254.5,0.14047,433.0,-21.0,39.0,39.0,60.0,81.0,,21.0,,768.0,357,352.0,-5.0,3.0,-103.0,22.0,30.0,-113.0,-94.0,158.0,-96.0,163.0,,0.0,-68.0,0.0,-49.0,39.0,49.0,9.0,-45,AGK.L,L,,,,-11,,,,,,,6,,-2853.0,186.0,50.0,4076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,,2.2,126.8,177.3,4.0,9.0,23.5,245.4,393.0,25.5,,0.0,1.1,218.7,-23.8,17.8,60.9,,99.5,26.7,490.7,-0.75333,1248.1,403.27498,358.2,327.2,415.4,473.0,3.8,775.1,1248.1,406.4,176.0,,57.6,17.2,400.6,0.04319,86.7,-4.4,-60.4,-60.8,-78.3,-68.1,-5.8,-17.5,,144.3,76.4,154.8,61.2,22.3,-11.0,10.9,2.5,88.2,-5.9,-17.1,-31.8,6.3,-10.9,0.4,107.8,-8.7,65.6,-78.3,64.4,5.1,0.0,ASCL.L,L,50.5,0.2,,-0.1,,,0.4,,,,,,,531.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,,1.7,32.7,111.7,4.0,9.4,22.9,247.8,282.6,69.7,,0.0,1.4,168.7,-35.2,43.2,43.0,,85.7,30.0,561.1,-0.56835,1162.0,403.27498,258.6,263.8,309.4,531.5,4.1,630.5,1162.0,300.0,141.4,,64.3,17.3,401.9,0.08136,115.7,-1.2,-13.3,-13.3,-20.3,-16.2,-2.9,-7.0,,180.0,81.3,131.89999999999998,33.3,24.599999999999998,-9.7,7.799999999999999,0.10000000000000009,-14.0,-92.80000000000001,29.700000000000003,-17.699999999999996,5.8999999999999995,-7.799999999999999,1.2000000000000002,0.0,1.0,-75.89999999999999,-20.3,37.199999999999996,-83.10000000000001,-7.199999999999999,ASCL.L,L,79.0,0.6,,-0.1,,,,,,,,,,512.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,0.7,73.4,187.6,4.0,9.8,23.2,265.1,292.8,12.1,0.0,0.0,0.0,159.1,-26.5,27.0,37.4,,85.7,33.2,577.8,-0.53553,1173.2,402.77502,318.9,254.6,322.3,555.9,5.4,617.3,1173.2,312.5,125.9,,87.6,18.5,405.9,0.08771,148.6,-2.9,21.4,21.4,30.5,36.0,-2.6,9.1,,236.2,85.7,112.6,8.4,22.8,-8.8,7.4,3.1,-22.9,-29.6,57.5,-15.1,5.2,-7.4,0.6,0.0,0.2,5.6,30.5,14.1,-20.8,-15.7,ASCL.L,L,114.2,,,-0.1,,,,,,,,,,506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,105.039,4.485,93.774,93.774,0.228,0.197,,17.274,,,,70.0,,6.084,-0.733,0.095,0.565,1.6929999999999978,124.431,24.84,34.35,0.13459,257.987,68.37675,203.455,218.818,70.941,38.33,0.214,219.657,257.987,0.744,106.732,,54.924,,69.057,0.37854,54.598,-0.117,26.141,26.141,32.764,32.881,,6.623,,109.522,21.717,21.717000000000006,0.0,2.412,-4.324999999999999,0.42,5.654,23.019,-4.023,33.95,-4.090999999999999,2.7640000000000002,,0.307,51.729,0.001,53.253,32.763999999999996,0.10099999999999999,0.30200000000000005,-28.711,PAY.L,L,,,,,,,,,,8.318,,9.788,,11.853,2.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,130.942,4.485,40.521,40.521,0.227,0.211,0.0,16.997,,,,18.0,,6.31,-0.574,0.169,0.945,1.478999999999985,147.471,26.505,37.255,0.18081,232.287,68.35481,175.803,189.897,19.039,41.393,0.18,190.894,232.287,0.828,132.421,,54.697,,68.611,0.2846,49.038,-0.072,19.527,19.527,24.035,24.107,,4.508,,103.735,24.931,24.930999999999997,0.0,1.474,-4.083,0.3,10.116,-10.708,-3.854,17.531,-10.923,2.867,,0.067,18.0,,3.036,24.035,0.078,0.229,-28.708,PAY.L,L,,,,,,,,,,6.938,,10.967,,12.037,2.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,135.26,3.352,37.485,37.485,0.227,,0.0,15.875,,,,0.0,,13.456,-0.989,0.233,0.781,1.0320000000000107,151.277,26.665,47.56,0.332,231.558,68.24341,176.619,181.175,0.0,50.15,0.124,181.408,231.558,0.0,136.292,,53.698,,68.8282,0.33637,51.744,-0.023,23.902,23.902,29.372,29.395,,5.47,,105.442,23.271,22.348999999999997,-0.922,1.8330000000000002,-7.286,0.363,5.547,-24.996,-7.029999999999999,31.264000000000003,-2.537,3.2609999999999997,,-1.1119999999999999,,,-1.8739999999999997,29.372,-0.6650000000000003,0.256,-18.996000000000002,PAY.L,L,,,,,,,,,,7.536,,8.906,,11.618,2.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,36.365,9.705,,58.281,1.092,5.943,,20.159,,,,0.0,,2.236,2.291,,1.478,2.009999999999998,,23.796,86.718,0.65619,148.47,109.19167,103.037,40.127,22.477,91.809,,56.661,148.47,16.534,38.375,,73.676,,109.191,0.14824,66.817,-0.355,16.187,16.187,21.159,21.514,,4.972,,140.493,45.303,45.303,,,-0.479,0.389,6.78,-2.897,-0.479,24.121,0.331,3.243,-0.421,0.557,-2.641,0.165,21.302,21.159,-0.612,,0.0,FDM.L,L,58.281,,,-7.997,,,,,,1.013,,30.935,,,6.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,33.115,9.687,,36.979,1.092,5.68,,19.799,,,,0.0,,2.105,0.925,,1.732,1.0210000000000008,22.737,24.621,71.524,0.50615,123.068,109.18674,76.916,30.522,23.162,75.064,,48.004,123.068,17.482,34.136,,70.639,,109.769,0.19597,66.494,-0.33,21.511,21.511,27.583,27.939,-0.026,6.072,,137.133,38.555,38.55500000000001,,,-0.887,0.42199999999999993,6.719,-20.371000000000002,-0.887,29.706000000000003,-1.8920000000000012,3.281,-0.45899999999999985,-0.128,-2.7390000000000003,0.15700000000000003,8.32,27.583,0.734,,-17.33,FDM.L,L,36.979,,,-8.164,,,,,,,,,,,5.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,30.394,9.582,,28.659,1.091,5.474,,19.732,,,,0.0,,3.707,2.142,,1.988,0.9920000000000009,23.214,26.28,65.949,0.46567,122.236,109.1301,74.236,32.395,24.764,70.551,,51.685,122.236,19.29,31.386,,69.314,,108.859,0.1756,65.082,-0.303,19.116,19.116,24.9,25.236,-0.033,5.784,,134.396,39.846,39.846000000000004,,,-2.145,0.405,4.29,-20.204,-2.145,17.141,-12.77,2.956,1.503,-0.04,-2.089,-2.835,-5.248,24.9,2.055,,-16.783,FDM.L,L,28.659,,,-8.213,,,,,,,,,,,14.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,386.328,205.162,151.123,151.123,14.749,80.472,39.394,230.617,174.875,11.104,5.815,0.0,8.993,18.292,-144.609,94.965,36.592,2.2350000000000136,258.816,267.875,877.454,0.57518,1695.632,250.62564,573.32,357.58,338.862,945.08,24.641,750.552,1695.632,258.39,388.563,,491.046,,250.7869,0.22174,202.544,-5.315,55.245,55.295,62.27,68.524,-0.939,6.975,,693.59,117.506,134.02000000000004,-4.056,21.524,-23.141,5.93,17.348,-38.762,-43.182,97.526,-2.98,19.459,,0.313,-7.93,0.055,15.895,62.27,-2.747,-20.041,-30.887,UDG.L,L,,0.223,,-7.676,,-0.954,-0.009,21.524,,,,,-154.671,570.309,,422.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,375.665,198.978,135.228,135.228,14.678,65.297,39.263,241.615,174.734,10.216,5.327,0.0,8.878,34.013,-152.035,98.046,28.209,4.384999999999991,246.685,176.305,846.411,0.44605,1558.601,249.34751,549.409,345.995,240.031,900.356,25.253,658.245,1558.601,174.734,380.05,,441.245,,251.25515,0.26297,200.639,-3.545,34.262,34.507,43.969,48.333,-0.819,9.462,,641.884,107.5,152.30600000000004,24.069,21.206000000000003,-17.493,5.752,15.734,-10.837,-86.91399999999999,65.71400000000001,-17.044999999999998,11.366,,-1.9499999999999997,-0.22699999999999998,0.4909999999999999,-33.987,43.969,6.218,-69.421,-11.101000000000003,UDG.L,L,,0.207,,-7.676,,-0.468,-0.036,21.205,,,,,-143.51,547.52,,319.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,378.748,198.516,169.215,169.215,14.649,0.021,42.694,226.505,240.681,9.497,3.87,0.0,2.704,39.378,-135.226,66.718,27.54,0.8140000000000214,258.175,181.529,822.237,0.61271,1540.342,248.71264,577.795,297.574,240.702,892.5,26.314,647.842,1540.342,240.681,379.562,,478.765,,250.06976,0.15662,177.874,-3.326,23.189,22.984,30.308,34.074,-0.44,7.324,,656.639,108.196,143.80000000000007,15.977,19.208,-21.998,4.158,9.595,-28.248,-43.739,63.538,-11.678,11.764,,-2.435,0.291,0.685,-10.884,30.308,13.936,-21.741,-29.224,UDG.L,L,,0.175,,-7.676,,0.418,-0.004,19.209,,,,,-134.688,513.606,,316.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-28,52.899,68.451,41.136,41.136,18.842,1.63,0.968,1.152,,,,0.0,,0.0,,12.305,4.338,0.14000000000000057,59.209,26.354,-21.316,2.20028,137.475,28.08553,105.631,60.839,2.045,62.948,11.456,74.527,137.475,0.415,53.039,,,,28.12,0.9728,,0.387,27.355,27.355,34.548,34.336,-0.175,7.193,,455.787,,421.451,0,0.219,-4.002000000000001,,7.063,-9.298,-4.002000000000001,11.628999999999998,-23.942999999999998,1.968,,0.14700000000000002,-0.8660000000000001,-1.2860000000000003,-1.524000000000001,34.336,-0.9510000000000001,0,-7.145999999999999,FOUR.L,L,,,,-3.029,,,,421.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-29,48.212,68.451,42.66,42.66,18.842,1.285,1.12,1.075,,,,0.0,,0.183,,15.046,5.651,0.0,71.517,22.962,-42.182,1.49209,132.132,28.08553,102.444,72.985,1.285,42.981,11.572,89.151,132.132,0.0,48.212,,,,28.136,0.54599,,0.364,15.362,15.362,19.445,19.284,-0.203,4.083,,405.057,,385.773,0,0.221,-4.176,,3.255,-15.615,-4.176,35.052,14.322,1.876,,-0.085,-0.821,-1.281,15.176,19.284,-0.651,0,-13.513,FOUR.L,L,,,,-2.13,,,,385.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,52.078,1198.703,92.12,92.12,4.807,2.389,4.345,93.555,141.445,0.006,,0.0,,0.552,1.972,0.681,,0.0,,20.184,-832.619,-0.34128,701.326,480.68051,144.224,168.985,156.791,372.913,0.026,328.413,701.326,154.402,52.078,,29.548,,443.51854,-0.01298,102.195,-2.925,8.156,8.156,7.269,10.194,0.0,-0.887,,131.743,92.001,92.001,0.0,46.574,-13.798,1.4849999999999994,4.267,-63.867000000000004,-13.798,3.5690000000000026,-39.388,-19.311,-1.4849999999999994,0.962,-62.900999999999996,0.5189999999999912,-73.134,7.2690000000000055,8.425000000000011,,,TRN.L,L,,,0.05,,,,,,,165.735,,0.309,,443.357,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-31,54.813,1198.391,165.254,165.254,480.681,2.999,5.564,106.425,215.283,0.064,,0.0,,4.43,0.605,1.551,,0.0,,20.992,-1322.586,-0.40069,790.853,480.68051,220.101,211.364,218.282,357.091,0.034,433.762,790.853,215.283,54.813,,30.054,,480.68051,-0.09009,98.956,-9.123,-89.094,-89.094,-87.5,-78.377,0.0,1.594,,129.01,106.889,177.333,70.444,,-14.56,9.054,0.931,29.102,-14.56,56.598,35.756,23.644,-12.22,-0.363,-76.223,117.545,70.777,-87.5,84.698,,,TRN.L,L,,,,,,,,,,203.935,,,,443.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
